,English Name,Scientific Name,SoIB 2023 Priority Status,Order,Family,Endemicity,Habitat Specialization,IUCN Category,CITES Appendix,source
596,Slaty-blue Flycatcher,Ficedula tricolor,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
597,Snowy-browed Flycatcher,Ficedula hyperythra,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest,Least Concern,,West_Bengal
598,Pygmy Blue Flycatcher,Ficedula hodgsoni,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest,Least Concern,,West_Bengal
599,Rufous-gorgeted Flycatcher,Ficedula strophiata,High,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
600,Sapphire Flycatcher,Ficedula sapphira,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
601,Little Pied Flycatcher,Ficedula westermanni,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
602,Ultramarine Flycatcher,Ficedula superciliaris,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
603,Rusty-tailed Flycatcher,Ficedula ruficauda,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest,Least Concern,,West_Bengal
604,Red-breasted Flycatcher,Ficedula parva,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
605,Blue-fronted Redstart,Phoenicurus frontalis,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
606,Plumbeous Water Redstart,Phoenicurus fuliginosus,High,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Wetland,Least Concern,,West_Bengal
607,White-capped Redstart,Phoenicurus leucocephalus,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
608,Blue-capped Redstart,Phoenicurus coeruleocephala,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
609,Hodgson's Redstart,Phoenicurus hodgsoni,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
610,Black Redstart,Phoenicurus ochruros,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
611,Chestnut-bellied Rock Thrush,Monticola rufiventris,Moderate,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
612,Blue-capped Rock Thrush,Monticola cinclorhyncha,High,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Forest,Least Concern,,West_Bengal
613,Blue Rock Thrush,Monticola solitarius,High,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
614,Siberian Stonechat,Saxicola maurus,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
615,White-tailed Stonechat,Saxicola leucurus,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Wetland,Least Concern,,West_Bengal
616,Pied Bushchat,Saxicola caprata,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
617,Grey Bushchat,Saxicola ferreus,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
618,Desert Wheatear,Oenanthe deserti,High,Passeriformes,Muscicapidae (Old World Flycatchers),Non-endemic,Open Habitat,Least Concern,,West_Bengal
619,Brown Rock Chat,Oenanthe fusca,Low,Passeriformes,Muscicapidae (Old World Flycatchers),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
620,Thick-billed Flowerpecker,Dicaeum agile,High,Passeriformes,Dicaeidae (Flowerpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
621,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Low,Passeriformes,Dicaeidae (Flowerpeckers),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
622,Plain Flowerpecker,Dicaeum minullum,Low,Passeriformes,Dicaeidae (Flowerpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
623,Fire-breasted Flowerpecker,Dicaeum ignipectus,Low,Passeriformes,Dicaeidae (Flowerpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
624,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Low,Passeriformes,Dicaeidae (Flowerpeckers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
625,Ruby-cheeked Sunbird,Chalcoparia singalensis,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest,Least Concern,,West_Bengal
626,Purple-rumped Sunbird,Leptocoma zeylonica,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
627,Purple Sunbird,Cinnyris asiaticus,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Non-specialized,Least Concern,,West_Bengal
628,Loten's Sunbird,Cinnyris lotenius,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
629,Fire-tailed Sunbird,Aethopyga ignicauda,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest,Least Concern,,West_Bengal
630,Black-throated Sunbird,Aethopyga saturata,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest,Least Concern,,West_Bengal
631,Mrs Gould's Sunbird,Aethopyga gouldiae,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest,Least Concern,,West_Bengal
632,Green-tailed Sunbird,Aethopyga nipalensis,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
633,Crimson Sunbird,Aethopyga siparaja,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Non-specialized,Least Concern,,West_Bengal
634,Little Spiderhunter,Arachnothera longirostra,Moderate,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
635,Streaked Spiderhunter,Arachnothera magna,Low,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
636,Asian Fairy-bluebird,Irena puella,Moderate,Passeriformes,Irenidae (Fairy-bluebirds),Non-endemic,Forest,Least Concern,,West_Bengal
637,Jerdon's Leafbird,Chloropsis jerdoni,Low,Passeriformes,Chloropseidae (Leafbirds),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
638,Golden-fronted Leafbird,Chloropsis aurifrons,Low,Passeriformes,Chloropseidae (Leafbirds),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
639,Orange-bellied Leafbird,Chloropsis hardwickii,Moderate,Passeriformes,Chloropseidae (Leafbirds),Non-endemic,Forest,Least Concern,,West_Bengal
640,Streaked Weaver,Ploceus manyar,Moderate,Passeriformes,Ploceidae (Weavers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
641,Baya Weaver,Ploceus philippinus,Low,Passeriformes,Ploceidae (Weavers and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
642,Finn's Weaver,Ploceus megarhynchus,High,Passeriformes,Ploceidae (Weavers and Allies),Indian Subcontinent,Wetland,Endangered,,West_Bengal
643,Black-breasted Weaver,Ploceus benghalensis,Low,Passeriformes,Ploceidae (Weavers and Allies),Indian Subcontinent,Wetland,Least Concern,,West_Bengal
644,Indian Silverbill,Euodice malabarica,Low,Passeriformes,Estrildidae (Waxbills and Allies),Non-endemic,Open Habitat,Least Concern,,West_Bengal
645,Scaly-breasted Munia,Lonchura punctulata,Low,Passeriformes,Estrildidae (Waxbills and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
646,White-rumped Munia,Lonchura striata,Low,Passeriformes,Estrildidae (Waxbills and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
647,Tricoloured Munia,Lonchura malacca,Low,Passeriformes,Estrildidae (Waxbills and Allies),Indian Subcontinent,Grassland & Scrub,Least Concern,,West_Bengal
648,Red Munia,Amandava amandava,Low,Passeriformes,Estrildidae (Waxbills and Allies),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
649,Alpine Accentor,Prunella collaris,Low,Passeriformes,Prunellidae (Accentors),Non-endemic,Alpine & Cold Desert,Least Concern,,West_Bengal
650,Altai Accentor,Prunella himalayana,Moderate,Passeriformes,Prunellidae (Accentors),Non-endemic,Open Habitat,Least Concern,,West_Bengal
651,Rufous-breasted Accentor,Prunella strophiata,Moderate,Passeriformes,Prunellidae (Accentors),Non-endemic,Non-specialized,Least Concern,,West_Bengal
652,House Sparrow,Passer domesticus,Moderate,Passeriformes,Passeridae (Old World Sparrows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
653,Russet Sparrow,Passer cinnamomeus,Low,Passeriformes,Passeridae (Old World Sparrows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
654,Eurasian Tree Sparrow,Passer montanus,Low,Passeriformes,Passeridae (Old World Sparrows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
655,Yellow-throated Sparrow,Gymnoris xanthocollis,Low,Passeriformes,Passeridae (Old World Sparrows),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
656,Forest Wagtail,Dendronanthus indicus,High,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
657,Grey Wagtail,Motacilla cinerea,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Non-specialized,Least Concern,,West_Bengal
658,Western Yellow Wagtail,Motacilla flava,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Open Habitat,Least Concern,,West_Bengal
659,Citrine Wagtail,Motacilla citreola,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Wetland,Least Concern,,West_Bengal
660,White-browed Wagtail,Motacilla maderaspatensis,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
661,White Wagtail,Motacilla alba,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Wetland,Least Concern,,West_Bengal
662,Richard's Pipit,Anthus richardi,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Open Habitat,Least Concern,,West_Bengal
663,Paddyfield Pipit,Anthus rufulus,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Open Habitat,Least Concern,,West_Bengal
664,Long-billed Pipit,Anthus similis,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
665,Blyth's Pipit,Anthus godlewskii,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Open Habitat,Least Concern,,West_Bengal
666,Upland Pipit,Anthus sylvanus,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
667,Rosy Pipit,Anthus roseatus,Low,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Open Habitat,Least Concern,,West_Bengal
668,Tree Pipit,Anthus trivialis,Moderate,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Non-specialized,Least Concern,,West_Bengal
669,Olive-backed Pipit,Anthus hodgsoni,High,Passeriformes,Motacillidae (Wagtails and Pipits),Non-endemic,Non-specialized,Least Concern,,West_Bengal
670,Collared Grosbeak,Mycerobas affinis,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
671,Spot-winged Grosbeak,Mycerobas melanozanthos,Low,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
672,Common Rosefinch,Carpodacus erythrinus,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
673,Himalayan Beautiful Rosefinch,Carpodacus pulcherrimus,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
674,Dark-rumped Rosefinch,Carpodacus edwardsii,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
675,Pink-browed Rosefinch,Carpodacus rodochroa,Low,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Himalayas,Non-specialized,Least Concern,,West_Bengal
676,Crimson-browed Finch,Carpodacus subhimachalus,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
677,Himalayan White-browed Rosefinch,Carpodacus thura,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Himalayas,Forest,Least Concern,,West_Bengal
678,Brown Bullfinch,Pyrrhula nipalensis,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
679,Red-headed Bullfinch,Pyrrhula erythrocephala,Low,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Himalayas,Forest,Least Concern,,West_Bengal
680,Gold-naped Finch,Pyrrhoplectes epauletta,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Himalayas,Forest,Least Concern,,West_Bengal
681,Spectacled Finch,Callacanthis burtoni,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Western Himalayas,Forest,Least Concern,,West_Bengal
682,Dark-breasted Rosefinch,Procarduelis nipalensis,Low,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
683,Plain Mountain Finch,Leucosticte nemoricola,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Alpine & Cold Desert,Least Concern,,West_Bengal
684,Yellow-breasted Greenfinch,Chloris spinoides,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Himalayas,Non-specialized,Least Concern,,West_Bengal
685,Tibetan Siskin,Spinus thibetanus,Moderate,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Non-endemic,Forest,Least Concern,,West_Bengal
686,Crested Bunting,Emberiza lathami,Moderate,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Non-specialized,Least Concern,,West_Bengal
687,Black-headed Bunting,Emberiza melanocephala,Low,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Open Habitat,Least Concern,,West_Bengal
688,Chestnut-eared Bunting,Emberiza fucata,Moderate,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
689,Grey-necked Bunting,Emberiza buchanani,Moderate,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
690,Yellow-breasted Bunting,Emberiza aureola,High,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Grassland,Critically Endangered,,West_Bengal
691,Little Bunting,Emberiza pusilla,Low,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Open Habitat,Least Concern,,West_Bengal
692,Black-faced Bunting,Emberiza spodocephala,Moderate,Passeriformes,Emberizidae (Old World Buntings),Non-endemic,Wetland,Least Concern,,West_Bengal
